OBJECTID,lagoslakei,area,perimeter,SDI,bbox_lw_rat,dist_pole
145915,"60361",1340027.44128418,8505.11125293342,2.073,1.785,326.452401609828
146886,"46906",37457.6062011719,749.909252234991,1.093,1.909,78.1431262634874
145218,"438",779526.085266113,5528.3867766991,1.766,1.039,267.503519840355
145923,"92600",270035.45715332,2716.45222765561,1.475,1.533,219.38552461128
145918,"2397",1152096.13208008,9450.09689549374,2.484,3.268,276.68949149317
146888,"63524",40010.8651733398,1103.38869020249,1.556,3.030,66.8499741801709
146241,"88497",104376.29309082,1838.42817519745,1.605,2.695,91.8361022641856
146008,"45865",420633.717224121,7466.20779962218,3.247,7.247,98.7680839096414
145580,"1864",566372.809936523,4574.4071970982,1.715,2.031,263.835481390455
145585,"1424",75001.3673095703,1257.62364657583,1.295,2.603,100.69185938922
144927,"1827",1080915.05651855,8446.76429906009,2.292,2.853,296.632556227772
144838,"578",506612.961669922,4777.62205278867,1.894,1.488,204.739641341764
144928,"33244",1433403.68249512,10211.9363799678,2.406,1.911,289.641964818973
145216,"81122",141311.370300293,2200.51596037597,1.651,1.104,136.574517260348
145581,"37458",425069.196655273,5624.99550684678,2.434,1.731,160.550932816004
145573,"74829",60816.778137207,1263.39087689856,1.445,1.467,80.5951857620092
