lagoslakei,area,perimeter,bbox_lw_rat,dist_pole,SDI
"8283",873616.178222656250000,8977.305332102332613,1.425,135.542565493599,2.709
"8286",1076046.080078125000000,11424.142102895391872,2.653,128.935964522289,3.107
"8285",587490.060546875000000,6070.571917012475751,1.615,117.265170590539,2.234
"8280",636180.255859375000000,7029.320604043279673,1.184,112.628455722403,2.486
"8279",359400.114257812500000,3680.842546428395508,1.324,102.615591762101,1.732
"114491",1349406.603958129882813,13935.088749632770487,2.324,119.026822924224,3.384
"16458",764962.939147949218750,7855.951490882495818,2.892,108.409251853688,2.534
"8281",1272654.746582031250000,14043.404016110576777,1.760,155.547449439673,3.512
"8372",2582272.221679687500000,27444.932404142957239,1.218,138.312198906963,4.818
"32963",438558.608276367187500,4894.764940629518605,1.142,110.801082735598,2.085
"8371",1858967.236328125000000,19947.749581327632768,1.665,137.623142673745,4.127
"114488",746385.283660888671875,7601.275199180317941,1.105,130.597891443425,2.482
"8374",384142.290039062500000,3906.467261324746687,2.014,106.089854207177,1.778
"8368",825650.259277343750000,8857.911786145226870,1.832,120.239459676524,2.750
"8367",1456705.217285156250000,14987.547165667670924,1.914,123.243552210566,3.503
"106275",711465.389801025390625,7615.587285719144347,1.219,114.055611759963,2.547
"16479",431658.098632812500000,4407.316494837699793,1.405,108.365471467607,1.892
"8370",321097.070312500000000,3288.398779816136084,1.361,107.678085387958,1.637
"81863",2455171.469787597656250,25459.181925740202132,1.321,155.819587682618,4.584
"8369",4921935.810058593750000,50506.455357169194031,3.052,158.408839744941,6.422
"8364",916920.517578125000000,9526.677508617594867,1.793,151.632290735129,2.807
"8363",603209.483398437500000,6246.876325108888523,1.081,105.314526562442,2.269
"8366",1732039.733398437500000,17843.395573795482051,1.873,113.72736593756,3.825
"8365",907492.631347656250000,9929.230383080852334,1.876,122.800305864073,2.940
"8360",768854.262207031250000,7881.844522730030803,2.004,106.616583988888,2.536
"130926",351285.664733886718750,3617.405227340016609,1.329,102.475042566567,1.722
"8359",856725.024414062500000,8809.017409393658454,2.106,109.776862682349,2.685
"8362",2318474.803222656250000,23942.120971032458328,1.958,162.289338275376,4.436
"8361",434999.065429687500000,4489.434298486144144,1.719,102.245446184551,1.920
"73772",532747.518249511718750,5466.702930740542797,1.461,105.817066305579,2.113
"8388",1066430.699218750000000,11005.793748813177444,1.651,112.670662844632,3.006
"8387",634864.984375000000000,6512.323344358799659,1.362,107.817283174242,2.306
"8390",513449.035644531250000,5604.392561604619914,1.738,107.605619862427,2.206
"8389",476339.989746093750000,4892.754561248731989,1.451,107.560735681912,2.000
"8384",3106887.739257812500000,33766.563189756132488,1.714,154.886164981054,5.404
"8383",2193344.126953125000000,23629.930424775990105,2.120,136.48843946117,4.501
"57287",912036.546752929687500,10116.619085884316519,1.687,106.784788939172,2.988
"8380",437052.698730468750000,4559.040734245811109,1.518,111.104820656539,1.945
"8382",2896697.246093750000000,29790.021293591595168,2.289,125.030034782677,4.938
"8381",688795.876953125000000,7012.631067926937249,1.341,117.086131841325,2.384
"8376",1237981.979003906250000,12788.685824454179965,2.453,108.643885182879,3.242
"8375",759327.527832031250000,7926.829370281620868,2.774,115.995808832626,2.566
"8378",1509257.868652343750000,15419.046677704831382,1.261,145.254134698111,3.541
"8377",1342672.755859375000000,13916.206030116729380,1.764,130.157679902112,3.388
"8342",1166949.824707031250000,11897.549872156399942,1.357,144.840783469579,3.107
"8341",968415.095214843750000,10106.136185597444637,1.226,108.846847974693,2.897
"8336",527902.849121093750000,5429.435788966598921,1.900,112.314449285307,2.108
"8335",389389.844238281250000,4017.716428340483617,1.719,102.810080875298,1.816
"8338",2220220.824218750000000,23061.170042972851661,1.471,142.11809933223,4.366
"8337",447361.467285156250000,4571.187590531861133,1.168,106.017747412287,1.928
"8332",781493.711914062500000,8003.741609399754452,1.130,110.351304718244,2.554
"8331",540464.065917968750000,5789.119262866390272,1.652,109.171954761313,2.221
"8334",1179199.271484375000000,12103.409078719882018,1.477,111.793259699337,3.144
"8333",4912566.061523437500000,52588.857334480504505,2.000,185.317032297065,6.693
"8328",4421942.682128906250000,46726.002696096395084,2.030,152.80511235928,6.268
"8327",1704007.330566406250000,17395.181506606284529,1.162,128.397580366006,3.759
"8330",1239988.301757812500000,13816.317398034090729,1.518,117.956696353365,3.500
"8329",2635260.106445312500000,29390.792647742608096,1.214,144.5701815427,5.107
"8355",486204.199707031250000,5022.061752723838254,1.220,106.016584567983,2.032
"8358",574572.325683593750000,5924.381261316651944,1.412,112.148809207829,2.205
